team,elo_after,season,date,elo_before
New York Red Bulls,1452.8725137881565,1998,1998-09-12,1462.6845198789292
Columbus Crew,1505.224954039112,1998,1998-09-15,1531.2986140625574
Houston Dynamo,1426.9730042455092,1998,1998-09-15,1435.552250978749
New York Red Bulls,1434.6824991115516,1998,1998-09-15,1452.8725137881565
Colorado Rapids,1489.6071329859421,1998,1998-09-15,1463.5334729624967
Los Angeles Galaxy,1645.9940698954847,1998,1998-09-15,1637.4148231622448
DC United,1656.874013560297,1998,1998-09-15,1638.683998883692
Chicago Fire,1577.0473344939269,1998,1998-09-16,1571.248363617304
Sporting Kansas City,1466.7513859723938,1998,1998-09-16,1472.5503568490167
Colorado Rapids,1498.7486598002295,1998,1998-09-18,1489.6071329859421
DC United,1626.4433998431728,1998,1998-09-18,1656.874013560297
New England Revolution,1456.8168899597083,1998,1998-09-18,1442.0012483132086
Sporting Kansas City,1451.063489959704,1998,1998-09-18,1466.7513859723938
Columbus Crew,1496.0834272248246,1998,1998-09-18,1505.224954039112
Miami,1492.3032791366948,1998,1998-09-18,1461.8726654195705
Mutiny,1421.7461580192034,1998,1998-09-18,1436.5617996657031
FC Dallas,1472.0977883099902,1998,1998-09-18,1456.4098922973003
Los Angeles Galaxy,1625.2934390933779,1998,1998-09-19,1645.9940698954847
Houston Dynamo,1447.673635047616,1998,1998-09-19,1426.9730042455092
Chicago Fire,1582.3187650941954,1998,1998-09-22,1577.0473344939269
New England Revolution,1451.5454593594397,1998,1998-09-22,1456.8168899597083
Columbus Crew,1478.5212084056195,1998,1998-09-23,1496.0834272248246
Mutiny,1439.3083768384085,1998,1998-09-23,1421.7461580192034
Colorado Rapids,1510.4630890876115,1998,1998-09-25,1498.7486598002295
New England Revolution,1435.6547873105799,1998,1998-09-25,1451.5454593594397
FC Dallas,1460.3833590226081,1998,1998-09-25,1472.0977883099902
New York Red Bulls,1450.5731711604114,1998,1998-09-25,1434.6824991115516
DC United,1631.0884169107076,1998,1998-09-26,1626.4433998431728
Houston Dynamo,1460.7935740367636,1998,1998-09-26,1447.673635047616
Los Angeles Galaxy,1632.6163478149097,1998,1998-09-26,1625.2934390933779
Miami,1466.8523873721663,1998,1998-09-26,1492.3032791366948
Columbus Crew,1473.8761913380847,1998,1998-09-26,1478.5212084056195
Sporting Kansas City,1437.9435509705563,1998,1998-09-26,1451.063489959704
Chicago Fire,1574.9958563726636,1998,1998-09-26,1582.3187650941954
Mutiny,1464.759268602937,1998,1998-09-26,1439.3083768384085
Columbus Crew,1485.7434261707492,1998,1998-09-29,1473.8761913380847
DC United,1635.39173132775,1998,1998-09-29,1631.0884169107076
New York Red Bulls,1438.705936327747,1998,1998-09-29,1450.5731711604114
Miami,1462.5490729551238,1998,1998-09-29,1466.8523873721663
Chicago Fire,1581.7029689507312,1998,1998-09-30,1574.9958563726636
Los Angeles Galaxy,1640.9026040278115,1998,1998-09-30,1632.6163478149097
Colorado Rapids,1503.7559765095439,1998,1998-09-30,1510.4630890876115
FC Dallas,1452.0971028097063,1998,1998-09-30,1460.3833590226081
New York Red Bulls,1424.890714674333,1998,1998-10-02,1438.705936327747
Columbus Crew,1499.5586478241632,1998,1998-10-02,1485.7434261707492
FC Dallas,1443.0992398393898,1998,1998-10-03,1452.0971028097063
Miami,1453.028742746524,1998,1998-10-03,1462.5490729551238
