team,win_prob,win,season,date,upset_win,upset_loss
Columbus Crew,0.3337455316609632,1,2017,2017-03-18,1,NA
Chicago Fire,0.2910035692492444,0,2017,2017-03-18,0,NA
Toronto FC,0.46611663359392763,1,2017,2017-03-18,1,NA
Montreal Impact,0.34276215776860675,0.5,2017,2017-03-18,NA,NA
Seattle Sounders,0.6136866868302031,1,2017,2017-03-19,NA,0
New York Red Bulls,0.3863133131697969,0,2017,2017-03-19,0,NA
Columbus Crew,0.5625735666985034,1,2017,2017-03-25,NA,0
New York Red Bulls,0.7676664676621028,0.5,2017,2017-03-25,NA,NA
New England Revolution,0.6585012512230983,1,2017,2017-03-25,NA,0
Portland Timbers,0.43742643330149655,0,2017,2017-03-25,0,NA
Real Salt Lake,0.23233353233789722,0.5,2017,2017-03-25,NA,NA
Minnesota,0.3414987487769017,0,2017,2017-03-25,0,NA
Seattle Sounders,0.6862687174281976,0.5,2017,2017-03-31,NA,NA
Toronto FC,0.7102901662900439,0.5,2017,2017-03-31,NA,NA
Atlanta United,0.3137312825718024,0.5,2017,2017-03-31,NA,NA
Sporting Kansas City,0.28970983370995607,0.5,2017,2017-03-31,NA,NA
Vancouver Whitecaps,0.5469223336341108,1,2017,2017-04-01,NA,0
Houston Dynamo,0.5454114608874677,1,2017,2017-04-01,NA,0
Minnesota,0.6233900819314728,1,2017,2017-04-01,NA,0
DC United,0.6448613961642693,1,2017,2017-04-01,NA,0
Columbus Crew,0.6270369226206637,1,2017,2017-04-01,NA,0
Chicago Fire,0.5680782808270717,0.5,2017,2017-04-01,NA,NA
New York City,0.6809144593124684,1,2017,2017-04-01,NA,0
Los Angeles Galaxy,0.4530776663658892,0,2017,2017-04-01,0,NA
New York Red Bulls,0.4545885391125323,0,2017,2017-04-01,0,NA
Real Salt Lake,0.37660991806852717,0,2017,2017-04-01,0,NA
Philadelphia Union,0.3551386038357307,0,2017,2017-04-01,0,NA
Orlando City,0.3729630773793363,0,2017,2017-04-01,0,NA
Montreal Impact,0.4319217191729283,0.5,2017,2017-04-01,NA,NA
San Jose Earthquakes,0.3190855406875316,0,2017,2017-04-01,0,NA
Portland Timbers,0.6972445462261967,0.5,2017,2017-04-02,NA,NA
New England Revolution,0.3027554537738033,0.5,2017,2017-04-02,NA,NA
Los Angeles Galaxy,0.6400170170389206,1,2017,2017-04-07,NA,0
Montreal Impact,0.35998298296107945,0,2017,2017-04-07,0,NA
San Jose Earthquakes,0.5089478426906008,0.5,2017,2017-04-08,NA,NA
Real Salt Lake,0.6056945153496089,1,2017,2017-04-08,NA,0
FC Dallas,0.7778273351869278,1,2017,2017-04-08,NA,0
Toronto FC,0.675622431153787,0.5,2017,2017-04-08,NA,NA
Philadelphia Union,0.5271877646724408,0,2017,2017-04-08,NA,1
DC United,0.5741570522125254,1,2017,2017-04-08,NA,0
Chicago Fire,0.5538582944510937,1,2017,2017-04-08,NA,0
New England Revolution,0.6260560793187652,1,2017,2017-04-08,NA,0
Seattle Sounders,0.4910521573093992,0.5,2017,2017-04-08,NA,NA
Vancouver Whitecaps,0.39430548465039106,0,2017,2017-04-08,0,NA
Minnesota,0.22217266481307218,0,2017,2017-04-08,0,NA
Atlanta United,0.32437756884621305,0.5,2017,2017-04-08,NA,NA
Portland Timbers,0.4728122353275592,1,2017,2017-04-08,1,NA
New York City,0.42584294778747456,0,2017,2017-04-08,0,NA
Columbus Crew,0.4461417055489063,0,2017,2017-04-08,0,NA
Houston Dynamo,0.37394392068123483,0,2017,2017-04-08,0,NA
Sporting Kansas City,0.6487007906014308,1,2017,2017-04-09,NA,0
Orlando City,0.586284224623407,1,2017,2017-04-09,NA,0
Colorado Rapids,0.3512992093985692,0,2017,2017-04-09,0,NA
New York Red Bulls,0.413715775376593,0,2017,2017-04-09,0,NA
San Jose Earthquakes,0.477234909389363,0.5,2017,2017-04-14,NA,NA
Vancouver Whitecaps,0.48582985908225274,1,2017,2017-04-14,1,NA
Philadelphia Union,0.532306132081817,0,2017,2017-04-14,NA,1
FC Dallas,0.5227650906106369,0.5,2017,2017-04-14,NA,NA
Seattle Sounders,0.5141701409177473,0,2017,2017-04-14,NA,1
New York City,0.467693867918183,1,2017,2017-04-14,1,NA
Portland Timbers,0.6624625939825592,0,2017,2017-04-15,NA,1
Colorado Rapids,0.6881354837671769,0,2017,2017-04-15,NA,1
Houston Dynamo,0.6899351975883571,0.5,2017,2017-04-15,NA,NA
Columbus Crew,0.5594167032196482,1,2017,2017-04-15,NA,0
New York Red Bulls,0.6979108371686076,1,2017,2017-04-15,NA,0
Chicago Fire,0.5758725611634918,1,2017,2017-04-15,NA,0
Orlando City,0.6221968355984745,1,2017,2017-04-15,NA,0
Montreal Impact,0.5735752958915833,1,2017,2017-04-15,NA,0
Sporting Kansas City,0.33753740601744076,1,2017,2017-04-15,1,NA
Real Salt Lake,0.3118645162328231,1,2017,2017-04-15,1,NA
Minnesota,0.3100648024116429,0.5,2017,2017-04-15,NA,NA
Toronto FC,0.4405832967803518,0,2017,2017-04-15,0,NA
DC United,0.3020891628313924,0,2017,2017-04-15,0,NA
New England Revolution,0.42412743883650816,0,2017,2017-04-15,0,NA
Los Angeles Galaxy,0.3778031644015255,0,2017,2017-04-15,0,NA
Atlanta United,0.4264247041084167,0,2017,2017-04-15,0,NA
New England Revolution,0.6650959625131735,0.5,2017,2017-04-19,NA,NA
San Jose Earthquakes,0.3349040374868265,0.5,2017,2017-04-19,NA,NA
Toronto FC,0.7281362613102907,1,2017,2017-04-21,NA,0
Chicago Fire,0.27186373868970926,0,2017,2017-04-21,0,NA
Real Salt Lake,0.568110173736874,0,2017,2017-04-22,NA,1
FC Dallas,0.6887840323868119,1,2017,2017-04-22,NA,0
New England Revolution,0.6626830575207042,0.5,2017,2017-04-22,NA,NA
New York Red Bulls,0.6704941310199485,1,2017,2017-04-22,NA,0
Portland Timbers,0.7221308492745998,1,2017,2017-04-22,NA,0
Houston Dynamo,0.6558614466875919,1,2017,2017-04-22,NA,0
Philadelphia Union,0.5106341739242318,0.5,2017,2017-04-22,NA,NA
Atlanta United,0.431889826263126,1,2017,2017-04-22,1,NA
Sporting Kansas City,0.31121596761318815,0,2017,2017-04-22,0,NA
DC United,0.3373169424792958,0.5,2017,2017-04-22,NA,NA
Columbus Crew,0.3295058689800515,0,2017,2017-04-22,0,NA
Vancouver Whitecaps,0.2778691507254002,0,2017,2017-04-22,0,NA
San Jose Earthquakes,0.34413855331240806,0,2017,2017-04-22,0,NA
Montreal Impact,0.4893658260757682,0.5,2017,2017-04-22,NA,NA
Minnesota,0.6044926999797663,1,2017,2017-04-23,NA,0
Los Angeles Galaxy,0.582171527525636,0,2017,2017-04-23,NA,1
New York City,0.6556334521792301,0,2017,2017-04-23,NA,1
Colorado Rapids,0.3955073000202337,0,2017,2017-04-23,0,NA
Seattle Sounders,0.41782847247436405,1,2017,2017-04-23,1,NA
Orlando City,0.3443665478207699,1,2017,2017-04-23,1,NA
Toronto FC,0.715830537546104,1,2017,2017-04-28,NA,0
Houston Dynamo,0.28416946245389596,0,2017,2017-04-28,0,NA
Los Angeles Galaxy,0.7325012514477888,0.5,2017,2017-04-29,NA,NA
Seattle Sounders,0.7538746513008038,0.5,2017,2017-04-29,NA,NA
Sporting Kansas City,0.7399855192757849,1,2017,2017-04-29,NA,0
FC Dallas,0.7075369247158697,0.5,2017,2017-04-29,NA,NA
Minnesota,0.6454673664467784,0,2017,2017-04-29,NA,1
Columbus Crew,0.6266874027291188,0,2017,2017-04-29,NA,1
New York Red Bulls,0.7368134537609162,1,2017,2017-04-29,NA,0
Orlando City,0.7111304773592664,1,2017,2017-04-29,NA,0
Montreal Impact,0.6950720287386484,0,2017,2017-04-29,NA,1
Philadelphia Union,0.26749874855221123,0.5,2017,2017-04-29,NA,NA
New England Revolution,0.24612534869919622,0.5,2017,2017-04-29,NA,NA
Real Salt Lake,0.26001448072421507,0,2017,2017-04-29,0,NA
Portland Timbers,0.2924630752841303,0.5,2017,2017-04-29,NA,NA
San Jose Earthquakes,0.3545326335532216,1,2017,2017-04-29,1,NA
New York City,0.3733125972708812,1,2017,2017-04-29,1,NA
Chicago Fire,0.2631865462390838,0,2017,2017-04-29,0,NA
Colorado Rapids,0.2888695226407336,0,2017,2017-04-29,0,NA
Vancouver Whitecaps,0.3049279712613516,1,2017,2017-04-29,1,NA
Atlanta United,0.7370266784625632,0,2017,2017-04-30,NA,1
DC United,0.2629733215374368,1,2017,2017-04-30,1,NA
Sporting Kansas City,0.6359020019538164,1,2017,2017-05-03,NA,0
Toronto FC,0.6778448966778915,1,2017,2017-05-03,NA,0
New York Red Bulls,0.3640979980461836,0,2017,2017-05-03,0,NA
Orlando City,0.3221551033221085,0,2017,2017-05-03,0,NA
Colorado Rapids,0.6218566192008589,0,2017,2017-05-05,NA,1
Vancouver Whitecaps,0.3781433807991411,1,2017,2017-05-05,1,NA
Los Angeles Galaxy,0.6623830870669877,0.5,2017,2017-05-06,NA,NA
San Jose Earthquakes,0.5478457391964103,1,2017,2017-05-06,NA,0
Real Salt Lake,0.44186928665492525,0,2017,2017-05-06,0,NA
Houston Dynamo,0.57990610036067,1,2017,2017-05-06,NA,0
Columbus Crew,0.63661668762957,1,2017,2017-05-06,NA,0
Philadelphia Union,0.4639072043688206,1,2017,2017-05-06,1,NA
DC United,0.6563598077494883,0,2017,2017-05-06,NA,1
Seattle Sounders,0.630522787752968,0,2017,2017-05-06,NA,1
Chicago Fire,0.3376169129330123,0.5,2017,2017-05-06,NA,NA
Portland Timbers,0.45215426080358967,0,2017,2017-05-06,0,NA
FC Dallas,0.5581307133450748,1,2017,2017-05-06,NA,0
Orlando City,0.42009389963932997,0,2017,2017-05-06,0,NA
New England Revolution,0.36338331237043,0,2017,2017-05-06,0,NA
New York Red Bulls,0.5360927956311794,0,2017,2017-05-06,NA,1
Montreal Impact,0.3436401922505117,1,2017,2017-05-06,1,NA
Toronto FC,0.369477212247032,1,2017,2017-05-06,1,NA
New York City,0.6408477735504491,1,2017,2017-05-07,NA,0
Minnesota,0.48113040084553776,1,2017,2017-05-07,1,NA
Atlanta United,0.3591522264495509,0,2017,2017-05-07,0,NA
Sporting Kansas City,0.5188695991544623,0,2017,2017-05-07,NA,1
Columbus Crew,0.5085310907788151,0,2017,2017-05-10,NA,1
Toronto FC,0.4914689092211849,1,2017,2017-05-10,1,NA
Houston Dynamo,0.6609521390257458,1,2017,2017-05-12,NA,0
Vancouver Whitecaps,0.3390478609742542,0,2017,2017-05-12,0,NA
Chicago Fire,0.5160944729672134,1,2017,2017-05-13,NA,0
New England Revolution,0.6988495840101864,1,2017,2017-05-13,NA,0
DC United,0.6973509877025628,0,2017,2017-05-13,NA,1
Orlando City,0.597509622512713,0.5,2017,2017-05-13,NA,NA
Montreal Impact,0.6609949983252466,0,2017,2017-05-13,NA,1
Colorado Rapids,0.5737209654502594,1,2017,2017-05-13,NA,0
Toronto FC,0.7948884329457361,1,2017,2017-05-13,NA,0
Seattle Sounders,0.48390552703278655,0,2017,2017-05-13,0,NA
Real Salt Lake,0.3011504159898136,0,2017,2017-05-13,0,NA
Philadelphia Union,0.30264901229743724,1,2017,2017-05-13,1,NA
Sporting Kansas City,0.402490377487287,0.5,2017,2017-05-13,NA,NA
Columbus Crew,0.33900500167475345,1,2017,2017-05-13,1,NA
San Jose Earthquakes,0.4262790345497406,0,2017,2017-05-13,0,NA
Minnesota,0.20511156705426392,0,2017,2017-05-13,0,NA
FC Dallas,0.7244780398654413,0.5,2017,2017-05-14,NA,NA
New York Red Bulls,0.6945071296004584,0,2017,2017-05-14,NA,1
Portland Timbers,0.6575577791636584,0.5,2017,2017-05-14,NA,NA
New York City,0.27552196013455865,0.5,2017,2017-05-14,NA,NA
Los Angeles Galaxy,0.30549287039954165,1,2017,2017-05-14,1,NA
Atlanta United,0.34244222083634157,0.5,2017,2017-05-14,NA,NA
San Jose Earthquakes,0.5955863456556049,0.5,2017,2017-05-17,NA,NA
Real Salt Lake,0.45881179182341436,1,2017,2017-05-17,1,NA
Chicago Fire,0.6667798797664417,1,2017,2017-05-17,NA,0
Sporting Kansas City,0.656758028638733,1,2017,2017-05-17,NA,0
Philadelphia Union,0.5767872427483678,1,2017,2017-05-17,NA,0
Orlando City,0.40441365434439513,0.5,2017,2017-05-17,NA,NA
New York City,0.5411882081765856,0,2017,2017-05-17,NA,1
Colorado Rapids,0.3332201202335583,0,2017,2017-05-17,0,NA
Seattle Sounders,0.343241971361267,0,2017,2017-05-17,0,NA
Houston Dynamo,0.4232127572516322,0,2017,2017-05-17,0,NA
New York Red Bulls,0.4763985084344863,0.5,2017,2017-05-19,NA,NA
Toronto FC,0.5236014915655137,0.5,2017,2017-05-19,NA,NA
FC Dallas,0.7845786918973531,0,2017,2017-05-20,NA,1
Atlanta United,0.6599789534493786,1,2017,2017-05-20,NA,0
Philadelphia Union,0.6821290815597476,1,2017,2017-05-20,NA,0
Vancouver Whitecaps,0.5310328538917993,1,2017,2017-05-20,NA,0
Seattle Sounders,0.751545690362106,1,2017,2017-05-20,NA,0
DC United,0.5731017233540899,0,2017,2017-05-20,NA,1
Montreal Impact,0.5923037137736593,1,2017,2017-05-20,NA,0
San Jose Earthquakes,0.21542130810264692,1,2017,2017-05-20,1,NA
Houston Dynamo,0.3400210465506214,0,2017,2017-05-20,0,NA
Colorado Rapids,0.3178709184402524,0,2017,2017-05-20,0,NA
Sporting Kansas City,0.46896714610820067,0,2017,2017-05-20,0,NA
Real Salt Lake,0.24845430963789406,0,2017,2017-05-20,0,NA
Chicago Fire,0.42689827664591007,1,2017,2017-05-20,1,NA
Portland Timbers,0.4076962862263407,0,2017,2017-05-20,0,NA
Orlando City,0.6171741776523764,0,2017,2017-05-21,NA,1
Minnesota,0.5909450325064218,0,2017,2017-05-21,NA,1
New England Revolution,0.6217352136222484,1,2017,2017-05-21,NA,0
New York City,0.38282582234762363,1,2017,2017-05-21,1,NA
Los Angeles Galaxy,0.40905496749357817,1,2017,2017-05-21,1,NA
Columbus Crew,0.3782647863777516,0,2017,2017-05-21,0,NA
Chicago Fire,0.5462717272355134,1,2017,2017-05-25,NA,0
FC Dallas,0.4537282727644866,0,2017,2017-05-25,0,NA
Toronto FC,0.7762062019950351,1,2017,2017-05-26,NA,0
Columbus Crew,0.2237937980049649,0,2017,2017-05-26,0,NA
San Jose Earthquakes,0.6137983510156793,0,2017,2017-05-27,NA,1
Colorado Rapids,0.49921642058463706,1,2017,2017-05-27,1,NA
Minnesota,0.5889406436175203,1,2017,2017-05-27,NA,0
Real Salt Lake,0.5426699600173858,1,2017,2017-05-27,NA,0
New York Red Bulls,0.6351326478888694,1,2017,2017-05-27,NA,0
Vancouver Whitecaps,0.7180270309233029,0,2017,2017-05-27,NA,1
Seattle Sounders,0.6686342558855559,1,2017,2017-05-27,NA,0
Los Angeles Galaxy,0.38620164898432074,1,2017,2017-05-27,1,NA
Sporting Kansas City,0.500783579415363,0,2017,2017-05-27,NA,1
Orlando City,0.4110593563824797,0,2017,2017-05-27,0,NA
Philadelphia Union,0.45733003998261423,0,2017,2017-05-27,0,NA
New England Revolution,0.36486735211113064,0,2017,2017-05-27,0,NA
DC United,0.2819729690766971,1,2017,2017-05-27,1,NA
Portland Timbers,0.3313657441144441,0,2017,2017-05-27,0,NA
FC Dallas,0.7436339308174864,0.5,2017,2017-05-28,NA,NA
Atlanta United,0.6039391567951262,1,2017,2017-05-28,NA,0
Houston Dynamo,0.2563660691825136,0.5,2017,2017-05-28,NA,NA
New York City,0.3960608432048738,0,2017,2017-05-28,0,NA
Houston Dynamo,0.7140612841604876,1,2017,2017-05-31,NA,0
Columbus Crew,0.5686577947810042,1,2017,2017-05-31,NA,0
New York City,0.7078033309227053,0.5,2017,2017-05-31,NA,NA
Orlando City,0.6696032827902629,1,2017,2017-05-31,NA,0
Real Salt Lake,0.28593871583951236,0,2017,2017-05-31,0,NA
Seattle Sounders,0.4313422052189958,0,2017,2017-05-31,0,NA
New England Revolution,0.2921966690772947,0.5,2017,2017-05-31,NA,NA
DC United,0.33039671720973707,0,2017,2017-05-31,0,NA
Portland Timbers,0.6703222677939575,1,2017,2017-06-02,NA,0
San Jose Earthquakes,0.32967773220604246,0,2017,2017-06-02,0,NA
Colorado Rapids,0.5800430158004568,1,2017,2017-06-03,NA,0
FC Dallas,0.803961256954553,1,2017,2017-06-03,NA,0
Montreal Impact,0.6413127129860343,1,2017,2017-06-03,NA,0
New England Revolution,0.4625342868561567,1,2017,2017-06-03,1,NA
DC United,0.5093600974638229,0.5,2017,2017-06-03,NA,NA
Vancouver Whitecaps,0.5557476210652413,1,2017,2017-06-03,NA,0
Sporting Kansas City,0.7300801241732203,1,2017,2017-06-03,NA,0
New York City,0.7105939479017443,1,2017,2017-06-03,NA,0
Columbus Crew,0.4199569841995432,0,2017,2017-06-03,0,NA
Real Salt Lake,0.196038743045447,0,2017,2017-06-03,0,NA
New York Red Bulls,0.3586872870139657,0,2017,2017-06-03,0,NA
Toronto FC,0.5374657131438433,0,2017,2017-06-03,NA,1
Los Angeles Galaxy,0.49063990253617706,0.5,2017,2017-06-03,NA,NA
Atlanta United,0.44425237893475866,0,2017,2017-06-03,0,NA
Minnesota,0.2699198758267797,0,2017,2017-06-03,0,NA
Philadelphia Union,0.28940605209825565,0,2017,2017-06-03,0,NA
Seattle Sounders,0.6548031586393874,1,2017,2017-06-04,NA,0
Orlando City,0.5919160415033247,0.5,2017,2017-06-04,NA,NA
Houston Dynamo,0.34519684136061257,0,2017,2017-06-04,0,NA
Chicago Fire,0.40808395849667534,0.5,2017,2017-06-04,NA,NA
Portland Timbers,0.5488952903535587,1,2017,2017-06-10,NA,0
Sporting Kansas City,0.6816226964254397,0.5,2017,2017-06-10,NA,NA
Chicago Fire,0.6389940329782893,1,2017,2017-06-10,NA,0
FC Dallas,0.45110470964644134,0,2017,2017-06-10,0,NA
Montreal Impact,0.3183773035745603,0.5,2017,2017-06-10,NA,NA
Atlanta United,0.3610059670217107,0,2017,2017-06-10,0,NA
Los Angeles Galaxy,0.6917477378687539,0.5,2017,2017-06-17,NA,NA
Real Salt Lake,0.5890965619188212,1,2017,2017-06-17,NA,0
Vancouver Whitecaps,0.5589977158315995,0.5,2017,2017-06-17,NA,NA
Colorado Rapids,0.5602336914217171,1,2017,2017-06-17,NA,0
San Jose Earthquakes,0.530588030048086,0.5,2017,2017-06-17,NA,NA
Toronto FC,0.8119658708966033,1,2017,2017-06-17,NA,0
New England Revolution,0.6074701647802345,0,2017,2017-06-17,NA,1
Orlando City,0.6010289262955258,0.5,2017,2017-06-17,NA,NA
Atlanta United,0.6724372986554831,1,2017,2017-06-17,NA,0
New York City,0.6660913933053606,1,2017,2017-06-17,NA,0
Houston Dynamo,0.3082522621312461,0.5,2017,2017-06-17,NA,NA
Minnesota,0.4109034380811788,0,2017,2017-06-17,0,NA
FC Dallas,0.4410022841684005,0.5,2017,2017-06-17,NA,NA
Portland Timbers,0.4397663085782829,0,2017,2017-06-17,0,NA
Sporting Kansas City,0.46941196995191403,0.5,2017,2017-06-17,NA,NA
DC United,0.18803412910339667,0,2017,2017-06-17,0,NA
Chicago Fire,0.3925298352197655,1,2017,2017-06-17,1,NA
Montreal Impact,0.39897107370447416,0.5,2017,2017-06-17,NA,NA
Columbus Crew,0.3275627013445169,0,2017,2017-06-17,0,NA
Seattle Sounders,0.3339086066946394,0,2017,2017-06-17,0,NA
Philadelphia Union,0.6138458433524578,0,2017,2017-06-18,NA,1
New York Red Bulls,0.38615415664754216,1,2017,2017-06-18,1,NA
Seattle Sounders,0.6803284127918102,0.5,2017,2017-06-21,NA,NA
Colorado Rapids,0.5639299204829975,0,2017,2017-06-21,NA,1
Minnesota,0.5358996421085731,1,2017,2017-06-21,NA,0
DC United,0.5133805821183496,1,2017,2017-06-21,NA,0
Orlando City,0.3196715872081898,0.5,2017,2017-06-21,NA,NA
Los Angeles Galaxy,0.4360700795170025,1,2017,2017-06-21,1,NA
Portland Timbers,0.4641003578914269,0,2017,2017-06-21,0,NA
Atlanta United,0.4866194178816504,0,2017,2017-06-21,0,NA
Houston Dynamo,0.5599820882305652,0.5,2017,2017-06-23,NA,NA
Toronto FC,0.7621387365400921,1,2017,2017-06-23,NA,0
FC Dallas,0.44001791176943483,0.5,2017,2017-06-23,NA,NA
New England Revolution,0.23786126345990788,0,2017,2017-06-23,0,NA
Los Angeles Galaxy,0.6558836756262282,0,2017,2017-06-24,NA,1
San Jose Earthquakes,0.6903452325239531,1,2017,2017-06-24,NA,0
Chicago Fire,0.7216336845448337,1,2017,2017-06-24,NA,0
Minnesota,0.5747942387127118,0.5,2017,2017-06-24,NA,NA
Columbus Crew,0.5849960001692187,1,2017,2017-06-24,NA,0
Atlanta United,0.7135418708520592,1,2017,2017-06-24,NA,0
Philadelphia Union,0.645790066024435,1,2017,2017-06-24,NA,0
New York Red Bulls,0.5905581199288493,0,2017,2017-06-24,NA,1
Sporting Kansas City,0.3441163243737718,1,2017,2017-06-24,1,NA
Real Salt Lake,0.3096547674760469,0,2017,2017-06-24,0,NA
Orlando City,0.2783663154551663,0,2017,2017-06-24,0,NA
Vancouver Whitecaps,0.42520576128728815,0.5,2017,2017-06-24,NA,NA
Montreal Impact,0.4150039998307813,0,2017,2017-06-24,0,NA
Colorado Rapids,0.2864581291479408,0,2017,2017-06-24,0,NA
DC United,0.354209933975565,0,2017,2017-06-24,0,NA
New York City,0.4094418800711507,1,2017,2017-06-24,1,NA
Portland Timbers,0.6276826555488323,0.5,2017,2017-06-25,NA,NA
Seattle Sounders,0.3723173444511677,0.5,2017,2017-06-25,NA,NA
New York City,0.7853926981768576,1,2017,2017-06-29,NA,0
Minnesota,0.21460730182314236,0,2017,2017-06-29,0,NA
Real Salt Lake,0.5527689299898462,0,2017,2017-06-30,NA,1
Orlando City,0.44723107001015383,1,2017,2017-06-30,1,NA
San Jose Earthquakes,0.5444051877814521,1,2017,2017-07-01,NA,0
Colorado Rapids,0.5716651687228343,1,2017,2017-07-01,NA,0
Columbus Crew,0.6045091618922279,0,2017,2017-07-01,NA,1
Chicago Fire,0.7245733101191367,1,2017,2017-07-01,NA,0
FC Dallas,0.568973469676968,1,2017,2017-07-01,NA,0
Montreal Impact,0.7175034085695867,1,2017,2017-07-01,NA,0
Sporting Kansas City,0.7113645386628371,0.5,2017,2017-07-01,NA,NA
Los Angeles Galaxy,0.4555948122185479,0,2017,2017-07-01,0,NA
Houston Dynamo,0.42833483127716565,0,2017,2017-07-01,0,NA
Atlanta United,0.3954908381077721,1,2017,2017-07-01,1,NA
Vancouver Whitecaps,0.2754266898808633,0,2017,2017-07-01,0,NA
Toronto FC,0.43102653032303195,0,2017,2017-07-01,0,NA
DC United,0.2824965914304133,0,2017,2017-07-01,0,NA
Portland Timbers,0.2886354613371629,0.5,2017,2017-07-01,NA,NA
Philadelphia Union,0.5962140356155633,1,2017,2017-07-02,NA,0
New England Revolution,0.4037859643844367,0,2017,2017-07-02,0,NA
Los Angeles Galaxy,0.7855446900681116,0,2017,2017-07-04,NA,1
Colorado Rapids,0.5717676468493318,0,2017,2017-07-04,NA,1
FC Dallas,0.805597143263077,1,2017,2017-07-04,NA,0
Atlanta United,0.721211104494663,1,2017,2017-07-04,NA,0
Minnesota,0.5943791555161295,0,2017,2017-07-04,NA,1
Real Salt Lake,0.21445530993188844,1,2017,2017-07-04,1,NA
Seattle Sounders,0.4282323531506682,1,2017,2017-07-04,1,NA
DC United,0.19440285673692304,0,2017,2017-07-04,0,NA
San Jose Earthquakes,0.27878889550533703,0,2017,2017-07-04,0,NA
Columbus Crew,0.4056208444838705,1,2017,2017-07-04,1,NA
Portland Timbers,0.535756207158783,0.5,2017,2017-07-05,NA,NA
Vancouver Whitecaps,0.5082422303617473,1,2017,2017-07-05,NA,0
Houston Dynamo,0.6032159105652226,1,2017,2017-07-05,NA,0
New England Revolution,0.6150797539506513,0,2017,2017-07-05,NA,1
Orlando City,0.4902546839594537,0,2017,2017-07-05,0,NA
Chicago Fire,0.464243792841217,0.5,2017,2017-07-05,NA,NA
New York City,0.4917577696382527,0,2017,2017-07-05,0,NA
Montreal Impact,0.3967840894347774,0,2017,2017-07-05,0,NA
New York Red Bulls,0.3849202460493487,1,2017,2017-07-05,1,NA
Toronto FC,0.5097453160405463,1,2017,2017-07-05,NA,0
Sporting Kansas City,0.7308821036827879,0.5,2017,2017-07-06,NA,NA
Philadelphia Union,0.26911789631721206,0.5,2017,2017-07-06,NA,NA
Los Angeles Galaxy,0.6291358859349975,0,2017,2017-07-19,NA,1
Portland Timbers,0.7246184161619327,0,2017,2017-07-19,NA,1
Seattle Sounders,0.7735243741956812,1,2017,2017-07-19,NA,0
Minnesota,0.539677658400911,0.5,2017,2017-07-19,NA,NA
Montreal Impact,0.6583827307119663,1,2017,2017-07-19,NA,0
New York City,0.5783424509075329,0.5,2017,2017-07-19,NA,NA
New York Red Bulls,0.6920747880221887,1,2017,2017-07-19,NA,0
Vancouver Whitecaps,0.3708641140650025,1,2017,2017-07-19,1,NA
Real Salt Lake,0.2753815838380673,1,2017,2017-07-19,1,NA
DC United,0.2264756258043188,0,2017,2017-07-19,0,NA
Houston Dynamo,0.460322341599089,0.5,2017,2017-07-19,NA,NA
Philadelphia Union,0.3416172692880337,0,2017,2017-07-19,0,NA
Toronto FC,0.4216575490924671,0.5,2017,2017-07-19,NA,NA
San Jose Earthquakes,0.3079252119778113,0,2017,2017-07-19,0,NA
Orlando City,0.5267252498852262,0,2017,2017-07-21,NA,1
Atlanta United,0.4732747501147738,1,2017,2017-07-21,1,NA
Real Salt Lake,0.5294615063229713,0.5,2017,2017-07-22,NA,NA
Columbus Crew,0.6574972635046996,1,2017,2017-07-22,NA,0
Montreal Impact,0.5319250703890285,0,2017,2017-07-22,NA,1
New England Revolution,0.6210283364413665,1,2017,2017-07-22,NA,0
DC United,0.524873444348302,0,2017,2017-07-22,NA,1
Toronto FC,0.827009337400217,0.5,2017,2017-07-22,NA,NA
Minnesota,0.5028110103297075,0,2017,2017-07-22,NA,1
New York City,0.622532130443751,1,2017,2017-07-22,NA,0
Sporting Kansas City,0.4705384936770287,0.5,2017,2017-07-22,NA,NA
Philadelphia Union,0.3425027364953004,0,2017,2017-07-22,0,NA
FC Dallas,0.4680749296109715,1,2017,2017-07-22,1,NA
Los Angeles Galaxy,0.37897166355863354,0,2017,2017-07-22,0,NA
Houston Dynamo,0.47512655565169803,1,2017,2017-07-22,1,NA
Colorado Rapids,0.17299066259978302,0.5,2017,2017-07-22,NA,NA
New York Red Bulls,0.49718898967029246,1,2017,2017-07-22,1,NA
Chicago Fire,0.377467869556249,0,2017,2017-07-22,0,NA
Seattle Sounders,0.7449221181550528,1,2017,2017-07-23,NA,0
Vancouver Whitecaps,0.6918331774511977,0,2017,2017-07-23,NA,1
San Jose Earthquakes,0.2550778818449472,0,2017,2017-07-23,0,NA
Portland Timbers,0.30816682254880234,1,2017,2017-07-23,1,NA
Philadelphia Union,0.5997670526846055,1,2017,2017-07-26,NA,0
Columbus Crew,0.4002329473153945,0,2017,2017-07-26,0,NA
Los Angeles Galaxy,0.5210770224470429,0.5,2017,2017-07-29,NA,NA
FC Dallas,0.7583436426144605,0,2017,2017-07-29,NA,1
Houston Dynamo,0.6767777545071713,0.5,2017,2017-07-29,NA,NA
Minnesota,0.6482504228789829,1,2017,2017-07-29,NA,0
Real Salt Lake,0.620978038506806,0.5,2017,2017-07-29,NA,NA
San Jose Earthquakes,0.6289183603173497,1,2017,2017-07-29,NA,0
Sporting Kansas City,0.6060225117588048,1,2017,2017-07-29,NA,0
New England Revolution,0.6223565455180671,1,2017,2017-07-29,NA,0
New York Red Bulls,0.7054760933609766,1,2017,2017-07-29,NA,0
