team,win_prob,win,season,date,upset_win,upset_loss
Houston Dynamo,0.3640694585558659,0,1998,1998-06-26,0,NA
Miami,0.6197296142867861,1,1998,1998-06-26,NA,0
New England Revolution,0.5600140046177167,0,1998,1998-06-26,NA,1
Los Angeles Galaxy,0.6359305414441341,1,1998,1998-06-26,NA,0
Mutiny,0.3802703857132139,0,1998,1998-06-26,0,NA
FC Dallas,0.43998599538228333,1,1998,1998-06-26,1,NA
Chicago Fire,0.7567538646516745,1,1998,1998-06-30,NA,0
Sporting Kansas City,0.7217522025684191,1,1998,1998-06-30,NA,0
FC Dallas,0.2432461353483255,0,1998,1998-06-30,0,NA
New England Revolution,0.2782477974315809,0,1998,1998-06-30,0,NA
DC United,0.8165114411987299,1,1998,1998-07-01,NA,0
Miami,0.18348855880127013,0,1998,1998-07-01,0,NA
Houston Dynamo,0.5179415139003668,1,1998,1998-07-02,NA,0
Columbus Crew,0.4820584860996332,0,1998,1998-07-02,0,NA
Colorado Rapids,0.6105282198522717,1,1998,1998-07-03,NA,0
FC Dallas,0.4746987265651906,0,1998,1998-07-03,0,NA
Los Angeles Galaxy,0.8176041334566094,1,1998,1998-07-03,NA,0
Mutiny,0.6623679642616593,0,1998,1998-07-03,NA,1
New York Red Bulls,0.3894717801477283,0,1998,1998-07-03,0,NA
Chicago Fire,0.5253012734348095,1,1998,1998-07-03,NA,0
Sporting Kansas City,0.18239586654339057,0,1998,1998-07-03,0,NA
New England Revolution,0.33763203573834066,1,1998,1998-07-03,1,NA
Columbus Crew,0.48664125322493956,1,1998,1998-07-08,1,NA
Chicago Fire,0.5133587467750604,0,1998,1998-07-08,NA,1
Colorado Rapids,0.7502507125979622,1,1998,1998-07-10,NA,0
DC United,0.5572975938922012,1,1998,1998-07-10,NA,0
New York Red Bulls,0.7691022094192882,0,1998,1998-07-10,NA,1
Sporting Kansas City,0.6431448059815804,1,1998,1998-07-10,NA,0
New England Revolution,0.24974928740203783,0,1998,1998-07-10,0,NA
Los Angeles Galaxy,0.44270240610779876,0,1998,1998-07-10,0,NA
Mutiny,0.2308977905807118,1,1998,1998-07-10,1,NA
FC Dallas,0.3568551940184196,0,1998,1998-07-10,0,NA
Miami,0.6087584046153685,1,1998,1998-07-14,NA,0
Mutiny,0.349528147452542,0,1998,1998-07-14,0,NA
New England Revolution,0.36686408604248133,0,1998,1998-07-14,0,NA
Houston Dynamo,0.39124159538463155,0,1998,1998-07-14,0,NA
Los Angeles Galaxy,0.650471852547458,1,1998,1998-07-14,NA,0
DC United,0.6331359139575187,1,1998,1998-07-14,NA,0
DC United,0.6720507379485188,1,1998,1998-07-17,NA,0
FC Dallas,0.7106591045319727,0,1998,1998-07-17,NA,1
Houston Dynamo,0.6665526834141566,0,1998,1998-07-17,NA,1
Los Angeles Galaxy,0.8612524713673524,0,1998,1998-07-17,NA,1
Chicago Fire,0.3279492620514812,0,1998,1998-07-17,0,NA
New England Revolution,0.2893408954680273,1,1998,1998-07-17,1,NA
Mutiny,0.33344731658584337,1,1998,1998-07-17,1,NA
Miami,0.1387475286326476,1,1998,1998-07-17,1,NA
New York Red Bulls,0.5980542494517119,1,1998,1998-07-18,NA,0
Sporting Kansas City,0.6024990876963076,1,1998,1998-07-18,NA,0
Columbus Crew,0.40194575054828807,0,1998,1998-07-18,0,NA
