season,date,home_team,home_final,away_final,away_team,penalties
1999,1999-04-17,FC Dallas,2,1,Mutiny,0
1999,1999-04-23,DC United,2,3,New England Revolution,0
1999,1999-04-23,FC Dallas,2,0,Columbus Crew,0
1999,1999-04-23,Los Angeles Galaxy,1,0,Houston Dynamo,0
1999,1999-04-23,Miami,1,0,Sporting Kansas City,0
1999,1999-04-24,New York Red Bulls,0,1,Mutiny,0
1999,1999-04-27,Sporting Kansas City,0,1,Columbus Crew,0
1999,1999-04-29,Houston Dynamo,2,1,FC Dallas,1
1999,1999-04-30,Chicago Fire,3,2,DC United,0
1999,1999-04-30,Mutiny,2,1,Miami,0
1999,1999-04-30,New England Revolution,1,2,Colorado Rapids,0
1999,1999-04-30,New York Red Bulls,0,1,Los Angeles Galaxy,1
1999,1999-05-07,DC United,2,1,New York Red Bulls,0
1999,1999-05-07,FC Dallas,1,2,Colorado Rapids,1
1999,1999-05-07,Mutiny,2,1,Chicago Fire,1
1999,1999-05-07,New England Revolution,1,0,Miami,1
1999,1999-05-07,Sporting Kansas City,2,1,Los Angeles Galaxy,0
1999,1999-05-08,Houston Dynamo,1,2,Columbus Crew,0
1999,1999-05-14,Columbus Crew,2,0,New England Revolution,0
1999,1999-05-14,FC Dallas,2,1,Houston Dynamo,0
1999,1999-05-14,Los Angeles Galaxy,0,1,Mutiny,1
1999,1999-05-14,New York Red Bulls,3,2,Miami,0
1999,1999-05-14,Sporting Kansas City,3,4,DC United,1
1999,1999-05-15,Chicago Fire,0,1,Colorado Rapids,0
1999,1999-05-21,Chicago Fire,3,1,Sporting Kansas City,0
1999,1999-05-21,Colorado Rapids,2,0,New York Red Bulls,0
1999,1999-05-21,Columbus Crew,0,1,Mutiny,1
1999,1999-05-21,Houston Dynamo,2,1,FC Dallas,1
1999,1999-05-21,Miami,1,3,DC United,0
1999,1999-05-22,Los Angeles Galaxy,1,0,New England Revolution,0
1999,1999-05-25,FC Dallas,2,1,Miami,0
1999,1999-05-26,Colorado Rapids,4,2,Houston Dynamo,0
1999,1999-05-28,Columbus Crew,2,1,Los Angeles Galaxy,1
1999,1999-05-28,DC United,3,1,Chicago Fire,0
1999,1999-05-28,Miami,2,1,Mutiny,0
1999,1999-05-28,New York Red Bulls,3,4,New England Revolution,1
1999,1999-06-02,Houston Dynamo,4,3,Colorado Rapids,0
1999,1999-06-04,DC United,1,0,Columbus Crew,0
1999,1999-06-04,Mutiny,1,0,Miami,0
1999,1999-06-04,New England Revolution,2,0,Chicago Fire,0
1999,1999-06-04,New York Red Bulls,2,5,FC Dallas,0
1999,1999-06-05,Los Angeles Galaxy,1,0,Sporting Kansas City,0
1999,1999-06-09,DC United,3,1,Miami,0
1999,1999-06-11,Houston Dynamo,2,1,Mutiny,1
1999,1999-06-11,Los Angeles Galaxy,2,1,Chicago Fire,0
1999,1999-06-11,New York Red Bulls,0,1,Colorado Rapids,0
1999,1999-06-11,Sporting Kansas City,1,0,FC Dallas,0
1999,1999-06-12,Columbus Crew,1,2,DC United,0
1999,1999-06-12,New England Revolution,4,3,Miami,1
1999,1999-06-15,Columbus Crew,2,1,New England Revolution,1
1999,1999-06-15,FC Dallas,3,0,DC United,0
1999,1999-06-18,Chicago Fire,2,0,Houston Dynamo,0
1999,1999-06-18,Colorado Rapids,2,1,FC Dallas,0
1999,1999-06-18,DC United,1,2,Los Angeles Galaxy,0
1999,1999-06-18,Mutiny,2,3,New England Revolution,0
1999,1999-06-19,Sporting Kansas City,6,0,New York Red Bulls,0
1999,1999-06-25,Colorado Rapids,2,0,Chicago Fire,0
1999,1999-06-25,Columbus Crew,2,1,New York Red Bulls,0
1999,1999-06-25,DC United,3,0,Sporting Kansas City,0
1999,1999-06-25,FC Dallas,2,0,New England Revolution,0
1999,1999-06-25,Miami,1,2,Houston Dynamo,0
1999,1999-06-26,Mutiny,2,4,Los Angeles Galaxy,0
1999,1999-06-29,Columbus Crew,4,3,Houston Dynamo,1
1999,1999-06-29,New York Red Bulls,2,1,Mutiny,1
1999,1999-07-01,Chicago Fire,2,1,FC Dallas,1
1999,1999-07-02,Mutiny,1,2,Sporting Kansas City,1
1999,1999-07-03,Colorado Rapids,0,3,Columbus Crew,0
1999,1999-07-03,FC Dallas,1,2,Chicago Fire,0
1999,1999-07-03,Houston Dynamo,2,1,DC United,1
1999,1999-07-03,Los Angeles Galaxy,1,2,Miami,0
1999,1999-07-03,New England Revolution,3,2,New York Red Bulls,0
1999,1999-07-06,Columbus Crew,1,2,DC United,1
1999,1999-07-06,Sporting Kansas City,1,2,Colorado Rapids,0
1999,1999-07-07,Mutiny,2,1,Houston Dynamo,0
1999,1999-07-09,Chicago Fire,2,0,New York Red Bulls,0
1999,1999-07-09,DC United,1,2,Colorado Rapids,0
1999,1999-07-09,FC Dallas,5,0,Sporting Kansas City,0
1999,1999-07-09,Miami,2,0,Columbus Crew,0
1999,1999-07-10,New England Revolution,2,5,Los Angeles Galaxy,0
1999,1999-07-21,Sporting Kansas City,4,3,Mutiny,0
1999,1999-07-22,Chicago Fire,2,3,Houston Dynamo,1
1999,1999-07-23,Columbus Crew,4,1,FC Dallas,0
1999,1999-07-23,New York Red Bulls,0,1,Miami,0
1999,1999-07-24,Colorado Rapids,2,3,Mutiny,1
1999,1999-07-24,Los Angeles Galaxy,2,1,Sporting Kansas City,0
1999,1999-07-24,New England Revolution,0,2,DC United,0
1999,1999-07-27,Colorado Rapids,1,0,Los Angeles Galaxy,0
1999,1999-07-28,Miami,3,2,Mutiny,1
1999,1999-07-30,Chicago Fire,0,1,Los Angeles Galaxy,0
1999,1999-07-30,FC Dallas,0,2,Colorado Rapids,0
1999,1999-07-30,Mutiny,4,1,New England Revolution,0
1999,1999-07-30,Sporting Kansas City,3,2,Houston Dynamo,1
1999,1999-07-31,Columbus Crew,4,0,Miami,0
1999,1999-08-03,FC Dallas,2,0,New York Red Bulls,0
1999,1999-08-04,Sporting Kansas City,1,2,Chicago Fire,0
1999,1999-08-05,Colorado Rapids,1,0,New England Revolution,1
1999,1999-08-06,Houston Dynamo,1,4,Los Angeles Galaxy,0
1999,1999-08-06,Miami,2,0,New York Red Bulls,0
1999,1999-08-07,Chicago Fire,5,0,Colorado Rapids,0
1999,1999-08-07,Columbus Crew,2,1,Sporting Kansas City,0
1999,1999-08-07,DC United,3,2,Mutiny,1
1999,1999-08-10,New York Red Bulls,1,4,DC United,0
1999,1999-08-11,New England Revolution,1,2,Houston Dynamo,0
1999,1999-08-12,Mutiny,0,1,Colorado Rapids,0
1999,1999-08-13,DC United,2,1,Columbus Crew,0
1999,1999-08-13,Los Angeles Galaxy,2,0,FC Dallas,0
1999,1999-08-13,New York Red Bulls,1,2,Sporting Kansas City,0
1999,1999-08-14,Chicago Fire,1,2,Miami,1
1999,1999-08-17,Colorado Rapids,0,3,FC Dallas,0
1999,1999-08-17,New England Revolution,0,1,Mutiny,0
1999,1999-08-17,New York Red Bulls,2,4,Columbus Crew,0
1999,1999-08-20,Houston Dynamo,2,1,New England Revolution,0
1999,1999-08-20,Los Angeles Galaxy,4,1,New York Red Bulls,0
1999,1999-08-20,Miami,2,3,DC United,1
1999,1999-08-21,Columbus Crew,1,2,Mutiny,1
1999,1999-08-21,FC Dallas,4,3,Chicago Fire,1
1999,1999-08-24,Chicago Fire,2,0,Sporting Kansas City,0
1999,1999-08-24,DC United,3,1,Miami,0
1999,1999-08-24,New York Red Bulls,1,2,New England Revolution,1
1999,1999-08-26,Mutiny,2,1,Columbus Crew,0
